ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028bf076--65a93e6d3c8c5b7eec96b7d6	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93e6e6cb4847cffb9a5c9	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93e71a5bf2c28ff143f6b	+	
00028bf076--65a93e7a8fef00738f1c7130	+	
00028bf076--65a93e854910f66c47a80586	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93e8a8fef00738f1c7288	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93ea282c710292cedcf9d	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93ec74910f66c47a80bfa	+	
00028bf076--65a93ecd82c710292cedd328	+	
00028bf076--65a93ed2a5bf2c28ff14480a	+	
00028bf076--65a93edf82c710292cedd4cb	+	
00028bf076--65a93fad8fef00738f1c896f	+	
00028bf076--65a93faf8fef00738f1c89a6	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93fc66cb4847cffb9cb92	+	
00028bf076--65a93fd882c710292cee11c8	+	
00028bf076--65a93fec8fef00738f1c8ea8	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93ff93c8c5b7eec96d82b	+	
00028bf076--65a940058fef00738f1c9087	+	
00028bf076--65a940328fef00738f1c9380	+	
00028bf076--65a9403f82c710292cee1c26	+	
00028bf076--65a9405f8fef00738f1c96ef	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a940653c8c5b7eec96e21d	+	
00028bf076--65a940686cb4847cffb9d99c	+	
00028bf076--65a9406b82c710292cee202b	+	
00028bf076--65a940788fef00738f1c99fc	+	
00028bf076--65a9408082c710292cee219b	+	
00028bf076--65a9408c6cb4847cffb9dc00	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a9408f82c710292cee230e	+	
00028bf076--65a9409d6cb4847cffb9dda7	+	
00028bf076--65a940a8a5bf2c28ff146dfa	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a940d16cb4847cffb9e17b	+	
00028bf076--65a940e2a5bf2c28ff14739c	+	
00028bf076--65a940fa6cb4847cffb9e501	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a941d38fef00738f1cb6d4	+	
00028bf076--65a941fe4910f66c47a8536d	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a942183c8c5b7eec97055f	+	
00028bf076--65a94253a5bf2c28ff148feb	+	
00028bf076--65a942568fef00738f1cc07b	+	
00028bf076--65a94332a5bf2c28ff14a325	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a94333a5bf2c28ff14a330	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a94336a5bf2c28ff14a3aa	+	
00028bf076--65a9437e8fef00738f1cd9aa	+	
00028bf076--65a9439fa5bf2c28ff14ac8b	+	
00028bf076--65a9446e4910f66c47a88ac4	+	
00028bf076--65a944703c8c5b7eec973830	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
