ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c9237--65bbf749156fa003ebeb4857	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbf7565140ac16b3046a01	+	
00028c9237--65bbf762156fa003ebeb49b4	+	
00028c9237--65bbf763543cd35382cbd47e	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbf770156fa003ebeb4aef	+	
00028c9237--65bbf7ae273ade4c3d96a64d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbf7db5140ac16b3047294	+	
00028c9237--65bbf7dd273ade4c3d96a9ce	+	
00028c9237--65bbf7eb5140ac16b30473a1	+	
00028c9237--65bbf7f1543cd35382cbde6f	+	
00028c9237--65bbf7f6156fa003ebeb535d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbf807273ade4c3d96ac47	+	
00028c9237--65bbf807543cd35382cbdff5	+	
00028c9237--65bbf808273ade4c3d96ac50	+	
00028c9237--65bbf80e5140ac16b3047677	+	
00028c9237--65bbf80f273ade4c3d96acb8	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbf810543cd35382cbe086	+	
00028c9237--65bbf829273ade4c3d96ae6c	+	
00028c9237--65bbf82d7e61f1055b1154f5	+	
00028c9237--65bbf82f7e61f1055b115500	+	
00028c9237--65bbf833543cd35382cbe345	+	
00028c9237--65bbf83f273ade4c3d96b025	+	
00028c9237--65bbf8475140ac16b3047a4b	+	
00028c9237--65bbf84c7e61f1055b1156d1	+	
00028c9237--65bbf84e5140ac16b3047ab3	+	
00028c9237--65bbf890156fa003ebeb5c3f	+	
00028c9237--65bbf8905140ac16b3047f04	+	
00028c9237--65bbf891273ade4c3d96b625	+	
00028c9237--65bbf89c543cd35382cbe969	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbf8b6156fa003ebeb5ed4	+	
00028c9237--65bbf8bd5140ac16b30482b0	+	
00028c9237--65bbf8c3543cd35382cbec36	+	
00028c9237--65bbf8c5273ade4c3d96ba37	+	
00028c9237--65bbf8d2543cd35382cbed4d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbf8d45140ac16b304842c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbf8d45140ac16b3048435	+	
00028c9237--65bbf8d5273ade4c3d96bb15	+	
00028c9237--65bbf8df156fa003ebeb61e9	+	
00028c9237--65bbf8ef7e61f1055b1162e9	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbf8f0543cd35382cbef78	+	
00028c9237--65bbf90a543cd35382cbf1a2	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbf9117e61f1055b11654a	+	
00028c9237--65bbf9437e61f1055b1168b7	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbf945273ade4c3d96c373	+	
00028c9237--65bbf958156fa003ebeb6ae9	+	
00028c9237--65bbf9645140ac16b3048d6a	+	
00028c9237--65bbf96b273ade4c3d96c701	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbf96c5140ac16b3048dfa	+	
00028c9237--65bbf9805140ac16b3048f9d	+	
00028c9237--65bbf989273ade4c3d96c906	+	
00028c9237--65bbf99e543cd35382cbfc64	+	
00028c9237--65bbf99e543cd35382cbfc68	+	
00028c9237--65bbf9b35140ac16b304933f	+	
00028c9237--65bbf9c9543cd35382cbff7a	+	
00028c9237--65bbf9ca273ade4c3d96cd7b	+	
00028c9237--65bbf9cc156fa003ebeb733d	+	
00028c9237--65bbf9ce273ade4c3d96cd9c	+	
00028c9237--65bbf9d0543cd35382cc001b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbf9e47e61f1055b1173e6	+	
00028c9237--65bbf9f2543cd35382cc026a	+	
00028c9237--65bbf9f3543cd35382cc02ad	+	
00028c9237--65bbf9f5273ade4c3d96d0a7	+	
00028c9237--65bbfa08156fa003ebeb7840	+	
00028c9237--65bbfa445140ac16b3049e44	+	
00028c9237--65bbfa4e156fa003ebeb7dc5	+	
00028c9237--65bbfa58273ade4c3d96d883	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfa5f273ade4c3d96d946	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfa72156fa003ebeb88b6	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfa87156fa003ebeb8a93	+	
00028c9237--65bbfaa27e61f1055b1181e2	+	
00028c9237--65bbfab7543cd35382cc11ac	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfacb156fa003ebeb8fbb	+	
00028c9237--65bbfacf7e61f1055b118530	+	
00028c9237--65bbfad3156fa003ebeb9060	+	
00028c9237--65bbfafc156fa003ebeb92d2	+	
00028c9237--65bbfb00273ade4c3d96ed3c	+	
00028c9237--65bbfb055140ac16b304b56f	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfb17156fa003ebeb949a	+	
00028c9237--65bbfb285140ac16b304b890	+	
00028c9237--65bbfb2f543cd35382cc23b6	+	
00028c9237--65bbfb315140ac16b304b961	+	
00028c9237--65bbfb33543cd35382cc2454	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfb4b7e61f1055b118e09	+	
00028c9237--65bbfb54543cd35382cc2684	+	
00028c9237--65bbfb59273ade4c3d96fc7a	+	
00028c9237--65bbfb74156fa003ebeb9bd0	+	
00028c9237--65bbfb86543cd35382cc29f4	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfb8b273ade4c3d9700bc	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfb8d273ade4c3d9700f4	+	
00028c9237--65bbfb95543cd35382cc2ab0	+	
00028c9237--65bbfb9a156fa003ebeb9e35	+	
00028c9237--65bbfbaf7e61f1055b1194dd	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfbc0543cd35382cc2dd7	+	
00028c9237--65bbfbc8273ade4c3d970605	+	
00028c9237--65bbfbe57e61f1055b119895	+	
00028c9237--65bbfbfa543cd35382cc31ac	+	
00028c9237--65bbfc077e61f1055b119aa9	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfc287e61f1055b119d36	+	
00028c9237--65bbfc5d273ade4c3d970fd7	+	
00028c9237--65bbfc62156fa003ebebaaaf	+	
00028c9237--65bbfc67273ade4c3d971031	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfc6e543cd35382cc3b2e	+	
00028c9237--65bbfc72156fa003ebebab92	+	
00028c9237--65bbfc825140ac16b304d7c8	+	
00028c9237--65bbfcae156fa003ebebaf40	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfcc8156fa003ebebb081	+	
00028c9237--65bbfcd3156fa003ebebb10c	+	
00028c9237--65bbfcdd156fa003ebebb1a3	+	
00028c9237--65bbfcef156fa003ebebb2a8	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfd01156fa003ebebb3a6	+	
00028c9237--65bbfd03543cd35382cc4414	+	
00028c9237--65bbfd0a156fa003ebebb41a	+	
00028c9237--65bbfd0c7e61f1055b11ab8c	+	
00028c9237--65bbfd22543cd35382cc4568	+	
00028c9237--65bbfd35543cd35382cc4690	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfd495140ac16b304e34d	+	
00028c9237--65bbfd53273ade4c3d971f20	+	
00028c9237--65bbfd67543cd35382cc48ee	+	
00028c9237--65bbfd69156fa003ebebb8ec	+	
00028c9237--65bbfd717e61f1055b11b0de	+	
00028c9237--65bbfd7e5140ac16b304e65f	+	
00028c9237--65bbfd87273ade4c3d9721f2	+	
00028c9237--65bbfd88273ade4c3d9721fe	+	
00028c9237--65bbfd8b273ade4c3d97226c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfd98156fa003ebebbc53	+	
00028c9237--65bbfd9b7e61f1055b11b35d	+	
00028c9237--65bbfda17e61f1055b11b3d0	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfda37e61f1055b11b3db	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfdc87e61f1055b11b6bb	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfddd7e61f1055b11b83b	+	
00028c9237--65bbfdf0273ade4c3d972a46	+	
00028c9237--65bbfe08273ade4c3d972bdf	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfe15156fa003ebebc512	+	
00028c9237--65bbfe18273ade4c3d972cc6	+	
00028c9237--65bbfe1e5140ac16b304f188	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfe1e7e61f1055b11bd3a	+	
00028c9237--65bbfe2d273ade4c3d972e70	+	
00028c9237--65bbfe557e61f1055b11c0e0	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfe7e543cd35382cc5dcf	+	
00028c9237--65bbfe7f273ade4c3d97339b	+	
00028c9237--65bbfe82543cd35382cc5e10	+	
00028c9237--65bbfe8f273ade4c3d9734db	+	
00028c9237--65bbfe94273ade4c3d97353b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbfe977e61f1055b11c690	+	
00028c9237--65bbfe9a7e61f1055b11c6b0	+	
00028c9237--65bbfec1273ade4c3d973855	+	
00028c9237--65bbfecb7e61f1055b11c97a	+	
00028c9237--65bbfece5140ac16b304fd42	+	
00028c9237--65bbfee4543cd35382cc647a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbff3b273ade4c3d97408c	+	
00028c9237--65bbff7c5140ac16b305083a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbff885140ac16b305094e	+	
00028c9237--65bbffaf156fa003ebebdebb	+	
00028c9237--65bc00065140ac16b30510c3	+	
00028c9237--65bc0019156fa003ebebe4da	+	
00028c9237--65bc001a5140ac16b30511d9	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bc00647e61f1055b11ea7f	+	
00028c9237--65bc0099156fa003ebebed42	+	
00028c9237--65bc00df7e61f1055b11f17e	+	
00028c9237--65bc011e156fa003ebebf4f9	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bc011e156fa003ebebf4fd	+	
00028c9237--65bc0152273ade4c3d975ed9	+	
00028c9237--65bc015e5140ac16b3052443	+	
00028c9237--65bc0212156fa003ebec0207	+	
00028c9237--65bc031b273ade4c3d977be6	+	
00028c9237--65bc03c3156fa003ebec1fd8	+	
